Field,Type,Null,Key,Default,Extra
id,int,YES,,NULL,
id_Parcerel,varchar(100),YES,,NULL,
Landuse,varchar(100),YES,,NULL,
Adress_proprietaire,varchar(100),YES,,NULL,
Date_vente,datetime,YES,,NULL,
Prix_vente,int,YES,,NULL,
reference_legal,varchar(100),YES,,NULL,
SoldAsVacant,varchar(4),YES,,NULL,
Nom_Aquerants,varchar(255),YES,,NULL,
Adress_Aquerants,varchar(255),YES,,NULL,
Acre,float,YES,,NULL,
Tax_districts,varchar(255),YES,,NULL,
Valeur_terres,int,YES,,NULL,
Valeur_construction,int,YES,,NULL,
valeur_total,int,YES,,NULL,
Anne_construction,int,YES,,NULL,
Toilettes,int,YES,,NULL,
Salle_bain,int,YES,,NULL,
Salle_bain_partielle,int,YES,,NULL,
